Package-0,,,,,,,,,,,,,,,,,,,,,,,,Package-1,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp, Pkg0-Total Mem Bw (GB/s),Pkg0-Total Mem RdBw (GB/s),Pkg0-Total Mem WrBw (GB/s),Pkg0-Mem Ch-A RdBw (GB/s),Pkg0-Mem Ch-A WrBw (GB/s),Pkg0-Mem Ch-B RdBw (GB/s),Pkg0-Mem Ch-B WrBw (GB/s),Pkg0-Mem Ch-C RdBw (GB/s),Pkg0-Mem Ch-C WrBw (GB/s),Pkg0-Mem Ch-D RdBw (GB/s),Pkg0-Mem Ch-D WrBw (GB/s),Pkg0-Mem Ch-E RdBw (GB/s),Pkg0-Mem Ch-E WrBw (GB/s),Pkg0-Mem Ch-F RdBw (GB/s),Pkg0-Mem Ch-F WrBw (GB/s),Pkg0-Mem Ch-G RdBw (GB/s),Pkg0-Mem Ch-G WrBw (GB/s),Pkg0-Mem Ch-H RdBw (GB/s),Pkg0-Mem Ch-H WrBw (GB/s),Pkg0-Approximate xGMI outbound data bytes (GB/s),Pkg0-xGMI0 BW (GB/s),Pkg0-xGMI1 BW (GB/s),Pkg0-xGMI2 BW (GB/s),Pkg0-xGMI3 BW (GB/s),Pkg1-Total Mem Bw (GB/s),Pkg1-Total Mem RdBw (GB/s),Pkg1-Total Mem WrBw (GB/s),Pkg1-Mem Ch-A RdBw (GB/s),Pkg1-Mem Ch-A WrBw (GB/s),Pkg1-Mem Ch-B RdBw (GB/s),Pkg1-Mem Ch-B WrBw (GB/s),Pkg1-Mem Ch-C RdBw (GB/s),Pkg1-Mem Ch-C WrBw (GB/s),Pkg1-Mem Ch-D RdBw (GB/s),Pkg1-Mem Ch-D WrBw (GB/s),Pkg1-Mem Ch-E RdBw (GB/s),Pkg1-Mem Ch-E WrBw (GB/s),Pkg1-Mem Ch-F RdBw (GB/s),Pkg1-Mem Ch-F WrBw (GB/s),Pkg1-Mem Ch-G RdBw (GB/s),Pkg1-Mem Ch-G WrBw (GB/s),Pkg1-Mem Ch-H RdBw (GB/s),Pkg1-Mem Ch-H WrBw (GB/s),Pkg1-Approximate xGMI outbound data bytes (GB/s),Pkg1-xGMI0 BW (GB/s),Pkg1-xGMI1 BW (GB/s),Pkg1-xGMI2 BW (GB/s),Pkg1-xGMI3 BW (GB/s),
00:00:44:505, 0.68,0.50,0.18,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.09,0.02,0.09,0.02,20.06,4.88,4.71,10.46,0.00,39.87,15.19,24.68,2.65,4.36,2.64,4.36,1.30,1.88,1.30,1.88,1.67,2.68,1.66,2.68,1.98,3.41,1.98,3.42,0.08,0.04,0.00,0.02,0.01,
00:00:44:758, 0.69,0.51,0.18,0.06,0.02,0.06,0.02,0.04,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.10,0.02,0.10,0.02,19.47,4.56,4.39,10.52,0.00,34.25,12.65,21.60,2.18,3.86,2.17,3.86,1.31,2.65,1.31,2.65,1.08,1.43,1.07,1.43,1.77,2.86,1.76,2.86,0.07,0.03,0.00,0.02,0.02,
00:00:45:011, 0.66,0.49,0.17,0.05,0.02,0.06,0.02,0.05,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.08,0.02,0.09,0.02,20.40,4.86,4.97,10.57,0.00,33.52,13.18,20.34,1.99,2.36,1.99,2.36,1.90,3.10,1.90,3.10,1.43,2.46,1.41,2.46,1.28,2.25,1.28,2.25,0.08,0.04,0.00,0.02,0.02,
00:00:45:264, 0.68,0.50,0.18,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.04,0.02,0.05,0.02,0.10,0.02,0.10,0.02,20.99,5.40,5.08,10.52,0.00,29.62,11.50,18.12,1.55,2.83,1.55,2.82,1.80,2.77,1.80,2.77,0.99,1.72,0.98,1.72,1.42,1.74,1.42,1.74,0.08,0.05,0.00,0.02,0.02,
00:00:45:517, 0.66,0.49,0.17,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.06,0.02,0.09,0.02,0.09,0.02,22.23,5.76,5.84,10.63,0.00,36.83,13.06,23.77,0.85,1.56,0.85,1.56,2.62,4.73,2.62,4.72,1.45,2.48,1.43,2.48,1.62,3.12,1.62,3.12,0.09,0.04,0.00,0.03,0.02,
00:00:45:770, 0.66,0.48,0.17,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.05,0.02,0.09,0.02,0.09,0.02,20.62,5.34,4.73,10.55,0.00,31.84,11.23,20.61,1.54,2.48,1.54,2.48,1.32,2.46,1.32,2.47,1.03,2.32,1.01,2.32,1.74,3.05,1.73,3.05,0.08,0.03,0.00,0.02,0.03,
00:00:46:023, 0.70,0.51,0.19,0.06,0.02,0.06,0.02,0.05,0.02,0.05,0.02,0.05,0.03,0.05,0.03,0.09,0.02,0.09,0.02,20.53,4.56,5.37,10.61,0.00,32.69,12.17,20.52,1.93,3.25,1.92,3.25,1.44,2.73,1.44,2.73,1.77,2.41,1.76,2.41,0.96,1.87,0.96,1.87,0.08,0.04,0.00,0.02,0.02,
00:00:46:276, 0.65,0.48,0.17,0.05,0.02,0.06,0.02,0.06,0.02,0.06,0.02,0.04,0.02,0.04,0.02,0.09,0.02,0.09,0.02,4.83,0.08,0.12,4.62,0.00,33.22,12.97,20.25,1.79,2.88,1.78,2.88,1.95,3.34,1.96,3.34,1.44,1.66,1.43,1.66,1.31,2.25,1.31,2.25,0.15,0.07,0.00,0.04,0.04,
00:00:46:529, 0.54,0.41,0.13,0.04,0.01,0.04,0.01,0.13,0.02,0.13,0.02,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.29,0.18,0.10,0.04,0.01,0.04,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:46:782, 1.56,0.88,0.68,0.39,0.30,0.39,0.30,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:47:035, 1.96,1.63,0.32,0.36,0.01,0.36,0.01,0.41,0.12,0.43,0.12,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.24,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:47:289, 1.22,1.11,0.11,0.02,0.01,0.02,0.01,0.51,0.02,0.51,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.22,0.12,0.10,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:47:543, 1.55,0.89,0.66,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.39,0.29,0.39,0.29,0.00,0.00,0.00,0.00,0.00,0.25,0.15,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:47:796, 1.21,1.11,0.11,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.50,0.02,0.50,0.02,0.05,0.03,0.02,0.00,0.00,0.23,0.13,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.07,0.07,0.00,0.00,0.01,
00:00:48:050, 0.26,0.15,0.11,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.52,0.88,0.64,0.03,0.01,0.03,0.01,0.38,0.28,0.38,0.28,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:48:303, 0.25,0.15,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.02,0.00,1.25,1.14,0.11,0.01,0.01,0.01,0.01,0.50,0.01,0.50,0.01,0.04,0.01,0.05,0.01,0.01,0.01,0.01,0.01,0.05,0.02,0.00,0.01,0.01,
00:00:48:556, 0.23,0.13,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,1.50,0.86,0.64,0.38,0.28,0.38,0.28,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:48:810, 1.29,0.86,0.43,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.38,0.18,0.38,0.18,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,1.28,1.12,0.16,0.49,0.04,0.49,0.04,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.00,0.00,0.01,0.01,
00:00:49:064, 1.32,1.12,0.20,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.51,0.06,0.51,0.06,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.26,0.15,0.10,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:49:318, 0.31,0.20,0.11,0.01,0.01,0.01,0.01,0.06,0.02,0.05,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,1.12,0.83,0.29,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.36,0.11,0.36,0.11,0.02,0.00,0.00,0.01,0.00,
00:00:49:571, 0.24,0.14,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,1.36,1.16,0.19,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.52,0.06,0.52,0.06,0.00,0.00,0.00,0.00,0.00,
00:00:49:825, 0.41,0.29,0.12,0.02,0.01,0.02,0.01,0.09,0.02,0.08,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,1.54,0.91,0.63,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.39,0.28,0.39,0.27,0.03,0.01,0.03,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:50:078, 0.21,0.11,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,1.26,1.09,0.16,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.49,0.04,0.49,0.04,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:50:332, 0.28,0.17,0.11,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.30,0.19,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:50:586, 1.25,0.92,0.33,0.39,0.12,0.39,0.12,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.27,0.17,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,
00:00:50:840, 1.32,0.98,0.34,0.04,0.02,0.04,0.02,0.42,0.13,0.42,0.13,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.28,0.17,0.10,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:51:094, 1.29,0.94,0.35,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.42,0.13,0.42,0.13,0.01,0.00,0.01,0.00,0.00,0.27,0.16,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.00,
00:00:51:348, 1.53,1.21,0.32,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.41,0.11,0.41,0.11,0.16,0.02,0.16,0.02,0.01,0.00,0.00,0.01,0.00,0.26,0.16,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,0.00,0.01,
00:00:51:602, 1.19,0.83,0.36,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.02,0.35,0.13,0.35,0.13,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.01,0.00,0.26,0.16,0.10,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:51:856, 0.26,0.14,0.12,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.00,1.09,0.81,0.28,0.35,0.10,0.35,0.10,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.09,0.04,0.00,0.02,0.02,
00:00:52:110, 0.24,0.13,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,1.77,1.41,0.37,0.41,0.14,0.41,0.14,0.25,0.02,0.25,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,
00:00:52:363, 0.28,0.17,0.11,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.00,0.00,1.29,0.96,0.34,0.01,0.01,0.01,0.01,0.40,0.13,0.40,0.13,0.02,0.01,0.02,0.01,0.04,0.01,0.04,0.01,0.02,0.00,0.00,0.02,0.00,
00:00:52:617, 0.28,0.16,0.12,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.00,0.00,1.29,0.93,0.35,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.41,0.14,0.41,0.14,0.02,0.00,0.00,0.01,0.01,
00:00:52:871, 0.26,0.15,0.11,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.00,0.00,1.26,0.91,0.35,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.40,0.14,0.40,0.14,0.02,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.01,
00:00:53:124, 0.81,0.66,0.15,0.01,0.01,0.01,0.01,0.07,0.02,0.06,0.02,0.04,0.01,0.04,0.01,0.21,0.03,0.21,0.03,0.01,0.00,0.00,0.00,0.00,0.47,0.36,0.11,0.02,0.01,0.02,0.01,0.07,0.02,0.06,0.02,0.06,0.01,0.06,0.01,0.04,0.01,0.04,0.01,0.03,0.01,0.00,0.01,0.01,
00:00:53:382, 0.99,0.81,0.18,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.01,0.04,0.02,0.04,0.02,0.32,0.04,0.31,0.04,0.08,0.00,0.07,0.00,0.00,0.48,0.36,0.12,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.07,0.02,0.07,0.02,0.06,0.02,0.06,0.02,0.17,0.06,0.00,0.06,0.04,
00:00:53:635, 0.27,0.14,0.13,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.18,0.00,0.18,0.00,0.00,0.36,0.23,0.12,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.01,0.04,0.01,0.00,0.01,0.02,
00:00:53:888, 0.25,0.14,0.11,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.27,0.16,0.11,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:54:142, 0.23,0.11,0.12,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.23,0.13,0.10,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:54:395, 0.22,0.11,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.23,0.12,0.11,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:54:648, 0.51,0.33,0.18,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.12,0.05,0.12,0.05,0.00,0.00,0.00,0.00,0.00,0.25,0.14,0.11,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.00,0.00,0.00,0.00,0.00,
00:00:54:901, 0.38,0.25,0.13,0.02,0.01,0.02,0.01,0.06,0.02,0.06,0.02,0.03,0.01,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.42,0.30,0.13,0.03,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.07,0.02,0.07,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.00,0.00,0.00,
